finality,personalization,turn,at_risk,events,survival
final_this_attempt,impersonal,12,144,1,0.9931
final_this_attempt,impersonal,13,143,1,0.9861
final_this_attempt,impersonal,15,142,2,0.9722
final_this_attempt,impersonal,24,140,3,0.9514
final_this_attempt,impersonal,25,137,1,0.9444
final_this_attempt,impersonal,26,136,3,0.9236
final_this_attempt,impersonal,27,133,2,0.9097
final_this_attempt,impersonal,28,131,5,0.875
final_this_attempt,impersonal,29,126,4,0.8472
final_this_attempt,impersonal,30,122,8,0.7917
final_this_attempt,impersonal,33,114,3,0.7708
final_this_attempt,impersonal,34,111,1,0.7639
final_this_attempt,impersonal,35,110,3,0.7431
final_this_attempt,impersonal,36,107,1,0.7361
final_this_attempt,impersonal,37,106,3,0.7153
final_this_attempt,impersonal,38,103,1,0.7083
final_this_attempt,impersonal,39,102,1,0.7014
final_this_attempt,impersonal,40,101,1,0.6944
final_this_attempt,impersonal,45,100,2,0.6806
final_this_attempt,impersonal,53,98,1,0.6736
final_this_attempt,impersonal,55,97,1,0.6667
final_this_attempt,impersonal,56,96,1,0.6597
final_this_attempt,impersonal,59,95,1,0.6528
final_this_attempt,impersonal,60,94,1,0.6458
final_this_attempt,impersonal,63,93,2,0.6319
final_this_attempt,impersonal,65,91,1,0.625
final_this_attempt,impersonal,67,90,1,0.6181
final_this_attempt,impersonal,68,89,1,0.6111
final_this_attempt,impersonal,69,88,1,0.6042
final_this_attempt,impersonal,72,87,1,0.5972
final_this_attempt,impersonal,78,86,1,0.5903
final_this_attempt,impersonal,86,85,1,0.5833
final_this_attempt,impersonal,91,84,1,0.5764
final_this_attempt,impersonal,94,83,1,0.5694
final_this_attempt,impersonal,102,82,1,0.5625
final_this_attempt,impersonal,116,81,1,0.5556
final_this_attempt,impersonal,121,1,1,0.0
final_this_attempt,named_individual,73,6,1,0.8333
final_this_attempt,named_individual,83,5,1,0.6667
final_this_attempt,named_individual,84,4,1,0.5
final_this_attempt,named_individual,107,3,1,0.3333
final_this_attempt,role_office,40,6,1,0.8333
final_this_attempt,role_office,64,5,1,0.6667
never_reconsidered,impersonal,13,144,1,0.9931
never_reconsidered,impersonal,14,143,2,0.9792
never_reconsidered,impersonal,24,141,1,0.9722
never_reconsidered,impersonal,25,140,3,0.9514
never_reconsidered,impersonal,26,137,8,0.8958
never_reconsidered,impersonal,27,129,1,0.8889
never_reconsidered,impersonal,28,128,3,0.8681
never_reconsidered,impersonal,29,125,1,0.8611
never_reconsidered,impersonal,30,124,5,0.8264
never_reconsidered,impersonal,33,119,5,0.7917
never_reconsidered,impersonal,34,114,1,0.7847
never_reconsidered,impersonal,35,113,1,0.7778
never_reconsidered,impersonal,37,112,1,0.7708
never_reconsidered,impersonal,42,111,1,0.7639
never_reconsidered,impersonal,45,110,1,0.7569
never_reconsidered,impersonal,46,109,1,0.75
never_reconsidered,impersonal,49,108,3,0.7292
never_reconsidered,impersonal,50,105,1,0.7222
never_reconsidered,impersonal,51,104,3,0.7014
never_reconsidered,impersonal,53,101,1,0.6944
never_reconsidered,impersonal,55,100,1,0.6875
never_reconsidered,impersonal,58,99,1,0.6806
never_reconsidered,impersonal,64,98,1,0.6736
never_reconsidered,impersonal,67,97,1,0.6667
never_reconsidered,impersonal,69,96,1,0.6597
never_reconsidered,impersonal,77,95,1,0.6528
never_reconsidered,impersonal,80,94,1,0.6458
never_reconsidered,impersonal,92,93,1,0.6389
never_reconsidered,impersonal,100,92,1,0.6319
never_reconsidered,impersonal,124,1,1,0.0
never_reconsidered,named_individual,32,6,1,0.8333
never_reconsidered,named_individual,47,5,1,0.6667
never_reconsidered,named_individual,68,4,1,0.5
never_reconsidered,named_individual,88,3,1,0.3333
never_reconsidered,named_individual,120,2,1,0.1667
never_reconsidered,role_office,66,6,1,0.8333
retry_invited,impersonal,14,144,1,0.9931
retry_invited,impersonal,15,143,1,0.9861
retry_invited,impersonal,22,142,1,0.9792
retry_invited,impersonal,23,141,1,0.9722
retry_invited,impersonal,24,140,1,0.9653
retry_invited,impersonal,25,139,1,0.9583
retry_invited,impersonal,26,138,7,0.9097
retry_invited,impersonal,27,131,1,0.9028
retry_invited,impersonal,28,130,6,0.8611
retry_invited,impersonal,29,124,7,0.8125
retry_invited,impersonal,30,117,1,0.8056
retry_invited,impersonal,33,116,4,0.7778
retry_invited,impersonal,34,112,5,0.7431
retry_invited,impersonal,35,107,1,0.7361
retry_invited,impersonal,36,106,3,0.7153
retry_invited,impersonal,37,103,1,0.7083
retry_invited,impersonal,38,102,1,0.7014
retry_invited,impersonal,42,101,1,0.6944
retry_invited,impersonal,44,100,1,0.6875
retry_invited,impersonal,47,99,2,0.6736
retry_invited,impersonal,50,97,1,0.6667
retry_invited,impersonal,55,96,1,0.6597
retry_invited,impersonal,59,95,1,0.6528
retry_invited,impersonal,60,94,1,0.6458
retry_invited,impersonal,63,93,1,0.6389
retry_invited,impersonal,69,92,1,0.6319
retry_invited,impersonal,70,91,1,0.625
retry_invited,impersonal,75,90,3,0.6042
retry_invited,impersonal,77,87,1,0.5972
retry_invited,impersonal,78,86,2,0.5833
retry_invited,impersonal,79,84,1,0.5764
retry_invited,impersonal,80,83,1,0.5694
retry_invited,impersonal,89,82,1,0.5625
retry_invited,impersonal,96,81,1,0.5556
retry_invited,impersonal,97,80,2,0.5417
retry_invited,impersonal,99,78,2,0.5278
retry_invited,impersonal,101,76,1,0.5208
retry_invited,impersonal,102,75,1,0.5139
retry_invited,impersonal,103,74,2,0.5
retry_invited,impersonal,111,72,1,0.4931
