factor,level,condition,k,n,rate,ci_lo,ci_hi,pretty
affordance_level,none,uninformed,26,72,0.3611111111111111,0.2598167969892474,0.4764751954201948,"36.1% [26.0, 47.6]"
affordance_level,low,uninformed,21,72,0.2916666666666667,0.1993805618249812,0.4050574267891821,"29.2% [19.9, 40.5]"
affordance_level,high,uninformed,35,72,0.4861111111111111,0.37432674520569686,0.5993024540352474,"48.6% [37.4, 59.9]"
affordance_level,none,informed,1,72,0.013888888888888888,0.0024559518801310215,0.07456602155291671,"1.4% [0.2, 7.5]"
affordance_level,low,informed,2,72,0.027777777777777776,0.0076510218974554164,0.0957417522946481,"2.8% [0.8, 9.6]"
affordance_level,high,informed,1,72,0.013888888888888888,0.0024559518801310215,0.07456602155291671,"1.4% [0.2, 7.5]"
affordance_level,none,POOLED,27,144,0.1875,0.13218190678178826,0.25905786645811457,"18.8% [13.2, 25.9]"
affordance_level,low,POOLED,23,144,0.1597222222222222,0.10885235618470271,0.228275396898747,"16.0% [10.9, 22.8]"
affordance_level,high,POOLED,36,144,0.25,0.1863950618720375,0.32659675671988475,"25.0% [18.6, 32.7]"
finality,retry_invited,uninformed,35,72,0.4861111111111111,0.37432674520569686,0.5993024540352474,"48.6% [37.4, 59.9]"
finality,final_this_attempt,uninformed,28,72,0.3888888888888889,0.28465714377678847,0.5043764501507654,"38.9% [28.5, 50.4]"
finality,never_reconsidered,uninformed,19,72,0.2638888888888889,0.1759377665384143,0.3757586205576374,"26.4% [17.6, 37.6]"
finality,retry_invited,informed,4,72,0.05555555555555555,0.02181421596582661,0.13432015974438846,"5.6% [2.2, 13.4]"
finality,final_this_attempt,informed,0,72,0.0,0.0,0.05065117267399196,"0.0% [0.0, 5.1]"
finality,never_reconsidered,informed,0,72,0.0,0.0,0.05065117267399196,"0.0% [0.0, 5.1]"
finality,retry_invited,POOLED,39,144,0.2708333333333333,0.20490763928206454,0.34866819442719743,"27.1% [20.5, 34.9]"
finality,final_this_attempt,POOLED,28,144,0.19444444444444445,0.1380954559386254,0.26667232234039073,"19.4% [13.8, 26.7]"
finality,never_reconsidered,POOLED,19,144,0.13194444444444445,0.08612287091018488,0.19689286201681183,"13.2% [8.6, 19.7]"
model_pretty,GPT-5.5,uninformed,61,108,0.5648148148148148,0.4706782923862571,0.6544989017137379,"56.5% [47.1, 65.4]"
model_pretty,Opus-4.8,uninformed,21,108,0.19444444444444445,0.1308437771911473,0.27903516490887537,"19.4% [13.1, 27.9]"
model_pretty,GPT-5.5,informed,4,108,0.037037037037037035,0.014495541329612747,0.09138164367042162,"3.7% [1.4, 9.1]"
model_pretty,Opus-4.8,informed,0,108,0.0,0.0,0.034347359800037114,"0.0% [0.0, 3.4]"
model_pretty,GPT-5.5,POOLED,65,216,0.30092592592592593,0.24367519338276494,0.3651338071628519,"30.1% [24.4, 36.5]"
model_pretty,Opus-4.8,POOLED,21,216,0.09722222222222222,0.0644707234430009,0.14404981254464252,"9.7% [6.4, 14.4]"
deadline,d0,uninformed,39,108,0.3611111111111111,0.27673544776667625,0.455027707733334,"36.1% [27.7, 45.5]"
deadline,d1,uninformed,43,108,0.39814814814814814,0.31085681188102754,0.49243616881898,"39.8% [31.1, 49.2]"
deadline,d0,informed,4,108,0.037037037037037035,0.014495541329612747,0.09138164367042162,"3.7% [1.4, 9.1]"
deadline,d1,informed,0,108,0.0,0.0,0.034347359800037114,"0.0% [0.0, 3.4]"
deadline,d0,POOLED,43,216,0.19907407407407407,0.15128777833443896,0.25737698993219116,"19.9% [15.1, 25.7]"
deadline,d1,POOLED,43,216,0.19907407407407407,0.15128777833443896,0.25737698993219116,"19.9% [15.1, 25.7]"
complication,c0,uninformed,37,108,0.3425925925925926,0.25987964111917006,0.4361186017808417,"34.3% [26.0, 43.6]"
complication,c1,uninformed,45,108,0.4166666666666667,0.32811500206402877,0.5109428912359775,"41.7% [32.8, 51.1]"
complication,c0,informed,3,108,0.027777777777777776,0.0094913398917452,0.07850338880828986,"2.8% [0.9, 7.9]"
complication,c1,informed,1,108,0.009259259259259259,0.001636360852035404,0.05059345524800102,"0.9% [0.2, 5.1]"
complication,c0,POOLED,40,216,0.18518518518518517,0.13904408625908551,0.24232828669677367,"18.5% [13.9, 24.2]"
complication,c1,POOLED,46,216,0.21296296296296297,0.1636285103203027,0.2723286532570983,"21.3% [16.4, 27.2]"
