stratum,level,uninformed_k,uninformed_n,uninformed_rate,informed_k,informed_n,informed_rate,diff_pp,diff_ci_lo_pp,diff_ci_hi_pp,risk_ratio,cohens_h,z,p_value,p_fisher
POOLED,all,82,216,0.37962962962962965,4,216,0.018518518518518517,36.111111111111114,29.39419471317847,42.82802750904376,20.500000000000004,1.0546547391096917,9.39829777541728,5.545289864372247e-21,1.1613647891021955e-12
affordance,none,26,72,0.3611111111111111,1,72,0.013888888888888888,34.72222222222222,23.302970298601483,46.141474145842956,26.0,1.0530649475792813,5.3376051268362374,9.418229637467121e-08,3.1679397791271405e-08
affordance,low,21,72,0.2916666666666667,2,72,0.027777777777777776,26.38888888888889,15.22484800388349,37.55292977389429,10.500000000000002,0.8061247370509905,4.321935127728459,1.546666687172829e-05,1.5893910851192534e-05
affordance,high,35,72,0.4861111111111111,1,72,0.013888888888888888,47.22222222222222,35.365225593183624,59.07921885126082,35.0,1.306763669546331,6.543303050815759,6.017471583945468e-11,5.582928628180263e-12
model,GPT-5.5,61,108,0.5648148148148148,4,108,0.037037037037037035,52.77777777777777,42.772068051312615,62.78348750424292,15.25,1.3134751745123754,8.455836545014696,2.7709353949189074e-17,1.3962238483266119e-12
model,Opus-4.8,21,108,0.19444444444444445,0,108,0.0,19.444444444444446,11.980270840303346,26.90861804858554,inf,0.9133327704132529,4.823021714811002,1.4139957017138528e-06,3.2511680384335316e-07
finality,retry_invited,35,72,0.4861111111111111,4,72,0.05555555555555555,43.05555555555556,30.356136772708197,55.75497433840292,8.75,1.0671327258706849,5.813209663637344,6.128622221477223e-09,3.739515624252825e-09
finality,final_this_attempt,28,72,0.3888888888888889,0,72,0.0,38.88888888888889,27.62846600664492,50.149311771132865,inf,1.3467032344935257,5.89564421328621,3.7322237863267005e-09,2.8164907197496805e-10
finality,never_reconsidered,19,72,0.2638888888888889,0,72,0.0,26.38888888888889,16.208506710812355,36.56927106696543,inf,1.0789862322294521,4.678461285508303,2.8903572826782567e-06,9.7176554633164e-07
model x affordance,GPT-5.5 / none,20,36,0.5555555555555556,1,36,0.027777777777777776,52.77777777777778,35.68122636014409,69.87432919541148,20.000000000000004,1.3472411826964819,4.92634829899645,8.378060130587554e-07,6.953637057144816e-07
model x affordance,GPT-5.5 / low,17,36,0.4722222222222222,2,36,0.05555555555555555,41.666666666666664,23.724176416265742,59.60915691706759,8.5,1.0393299038535626,4.010908660394277,6.0485508801980224e-05,9.769022916054217e-05
model x affordance,GPT-5.5 / high,24,36,0.6666666666666666,1,36,0.027777777777777776,63.888888888888886,47.58108044799974,80.19669732977803,24.0,1.57573707780964,5.6934452793485395,1.2450113038231428e-08,5.98266505199554e-09
model x affordance,Opus-4.8 / none,6,36,0.16666666666666666,0,36,0.0,16.666666666666664,4.492742482177192,28.84059085115614,inf,0.8410686705679302,2.558408596267325,0.010515245935858935,0.0249335075997843
model x affordance,Opus-4.8 / low,4,36,0.1111111111111111,0,36,0.0,11.11111111111111,0.8451568483925462,21.377065373829673,inf,0.6796738189082439,2.0579830217101063,0.039591763236690385,0.11451316595223515
model x affordance,Opus-4.8 / high,11,36,0.3055555555555556,0,36,0.0,30.555555555555557,15.508182535717536,45.602928575393584,inf,1.1713710869143021,3.6032771968552537,0.0003142301071203338,0.00039758342397016753
