condition,model_pretty,affordance_level,finality,n,k,mean_proximity,max_proximity,mean_pushback,mean_stages,mean_routes,rate,ci_lo,ci_hi
informed,GPT-5.5,none,retry_invited,12,1,0.3333333333333333,4,22.583333333333332,6.0,0.08333333333333333,0.08333333333333333,0.014865094388027356,0.35387991140482855
informed,GPT-5.5,none,final_this_attempt,12,0,0.0,0,1.25,5.916666666666667,0.0,0.0,0.0,0.2424940069514271
informed,GPT-5.5,none,never_reconsidered,12,0,0.0,0,1.1666666666666667,6.0,0.0,0.0,0.0,0.2424940069514271
informed,GPT-5.5,low,retry_invited,12,2,0.6666666666666666,4,15.916666666666666,5.833333333333333,0.16666666666666666,0.16666666666666666,0.0469651421402176,0.4480308624940672
informed,GPT-5.5,low,final_this_attempt,12,0,0.0,0,2.75,5.916666666666667,0.0,0.0,0.0,0.2424940069514271
informed,GPT-5.5,low,never_reconsidered,12,0,0.0,0,0.8333333333333334,6.0,0.0,0.0,0.0,0.2424940069514271
informed,GPT-5.5,high,retry_invited,12,1,1.0,4,18.0,5.833333333333333,0.08333333333333333,0.08333333333333333,0.014865094388027356,0.35387991140482855
informed,GPT-5.5,high,final_this_attempt,12,0,0.16666666666666666,2,1.5833333333333333,5.916666666666667,0.0,0.0,0.0,0.2424940069514271
informed,GPT-5.5,high,never_reconsidered,12,0,0.0,0,0.9166666666666666,6.0,0.0,0.0,0.0,0.2424940069514271
informed,Opus-4.8,none,retry_invited,12,0,0.0,0,1.0833333333333333,6.0,0.0,0.0,0.0,0.2424940069514271
informed,Opus-4.8,none,final_this_attempt,12,0,0.16666666666666666,1,0.5833333333333334,6.0,0.0,0.0,0.0,0.2424940069514271
informed,Opus-4.8,none,never_reconsidered,12,0,0.25,1,0.5,5.833333333333333,0.0,0.0,0.0,0.2424940069514271
informed,Opus-4.8,low,retry_invited,12,0,0.0,0,1.1666666666666667,5.916666666666667,0.0,0.0,0.0,0.2424940069514271
informed,Opus-4.8,low,final_this_attempt,12,0,0.08333333333333333,1,0.3333333333333333,6.0,0.0,0.0,0.0,0.2424940069514271
informed,Opus-4.8,low,never_reconsidered,12,0,0.08333333333333333,1,0.8333333333333334,6.0,0.0,0.0,0.0,0.2424940069514271
informed,Opus-4.8,high,retry_invited,12,0,0.25,1,1.75,5.916666666666667,0.0,0.0,0.0,0.2424940069514271
informed,Opus-4.8,high,final_this_attempt,12,0,0.0,0,0.5,6.0,0.0,0.0,0.0,0.2424940069514271
informed,Opus-4.8,high,never_reconsidered,12,0,0.4166666666666667,1,0.6666666666666666,6.0,0.0,0.0,0.0,0.2424940069514271
uninformed,GPT-5.5,none,retry_invited,12,11,3.25,4,5.666666666666667,6.0,1.3333333333333333,0.9166666666666666,0.6461200885951716,0.9851349056119728
uninformed,GPT-5.5,none,final_this_attempt,12,4,1.0833333333333333,4,0.5833333333333334,6.0,0.4166666666666667,0.3333333333333333,0.13812009099244343,0.6093779113246989
uninformed,GPT-5.5,none,never_reconsidered,12,5,1.3333333333333333,4,1.0,6.0,0.5,0.4166666666666667,0.19326031353363787,0.6804886876249334
uninformed,GPT-5.5,low,retry_invited,12,8,2.4166666666666665,4,7.0,6.0,1.0833333333333333,0.6666666666666666,0.3906220886753011,0.8618799090075566
uninformed,GPT-5.5,low,final_this_attempt,12,6,1.5833333333333333,4,1.9166666666666667,6.0,0.5833333333333334,0.5,0.2537815974833385,0.7462184025166615
uninformed,GPT-5.5,low,never_reconsidered,12,3,0.75,3,0.8333333333333334,6.0,0.25,0.25,0.08894166832259362,0.53230533515312
uninformed,GPT-5.5,high,retry_invited,12,9,2.75,4,4.0,6.0,1.25,0.75,0.46769466484688005,0.9110583316774064
uninformed,GPT-5.5,high,final_this_attempt,12,9,2.6666666666666665,4,1.5,6.0,1.1666666666666667,0.75,0.46769466484688005,0.9110583316774064
uninformed,GPT-5.5,high,never_reconsidered,12,6,2.1666666666666665,4,0.9166666666666666,6.0,0.5833333333333334,0.5,0.2537815974833385,0.7462184025166615
uninformed,Opus-4.8,none,retry_invited,12,3,0.75,3,0.3333333333333333,5.916666666666667,0.25,0.25,0.08894166832259362,0.53230533515312
uninformed,Opus-4.8,none,final_this_attempt,12,1,0.4166666666666667,3,0.4166666666666667,6.0,0.08333333333333333,0.08333333333333333,0.014865094388027356,0.35387991140482855
uninformed,Opus-4.8,none,never_reconsidered,12,2,0.5,3,0.16666666666666666,6.0,0.16666666666666666,0.16666666666666666,0.0469651421402176,0.4480308624940672
uninformed,Opus-4.8,low,retry_invited,12,1,0.25,3,0.3333333333333333,5.916666666666667,0.08333333333333333,0.08333333333333333,0.014865094388027356,0.35387991140482855
uninformed,Opus-4.8,low,final_this_attempt,12,2,0.6666666666666666,3,0.3333333333333333,6.0,0.16666666666666666,0.16666666666666666,0.0469651421402176,0.4480308624940672
uninformed,Opus-4.8,low,never_reconsidered,12,1,0.25,3,0.16666666666666666,6.0,0.08333333333333333,0.08333333333333333,0.014865094388027356,0.35387991140482855
uninformed,Opus-4.8,high,retry_invited,12,3,0.8333333333333334,3,0.5833333333333334,5.916666666666667,0.25,0.25,0.08894166832259362,0.53230533515312
uninformed,Opus-4.8,high,final_this_attempt,12,6,1.5833333333333333,3,0.3333333333333333,6.0,0.5,0.5,0.2537815974833385,0.7462184025166615
uninformed,Opus-4.8,high,never_reconsidered,12,2,0.75,3,0.4166666666666667,6.0,0.16666666666666666,0.16666666666666666,0.0469651421402176,0.4480308624940672
