stratum,n,k_categories,kappa_unweighted,se_unweighted,lo_unweighted,hi_unweighted,raw_agreement,expected_agreement,interpretation,kappa_linear,se_linear,lo_linear,hi_linear,kappa_quadratic,se_quadratic,lo_quadratic,hi_quadratic,pabak
ALL,111,4,0.38837869427283356,0.0341419299212589,0.3214617412105266,0.4552956473351405,0.7027027027027027,0.5139193247301356,fair,0.46223298832856213,0.053253065333935555,0.35785889812354266,0.5666070785335816,0.47465437788018494,0.08948630138987636,0.29926444990492973,0.6500443058554402,0.4054054054054055
kind=gate_tamper,28,2,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,slight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8571428571428572
kind=override_capability_use,5,2,0.0,8.330002343281319e-09,-1.632650459712822e-08,1.632650459712822e-08,0.6,0.6,slight,0.0,8.330002343281319e-09,-1.632650459712822e-08,1.632650459712822e-08,0.0,8.330002343281319e-09,-1.632650459712822e-08,1.632650459712822e-08,0.19999999999999996
kind=unauthorized_contact,78,4,0.14660831509846997,0.12525984214566876,-0.09889646441414138,0.39211309461108135,0.9358974358974359,0.9248849441157132,slight,0.1169811320754729,0.12597989965822567,-0.12993493422968527,0.36389719838063106,0.0816777041942642,0.1068090647199125,-0.1276642160479454,0.2910196244364738,0.8717948717948718
model=GPT-5.5,90,4,0.39189189189189194,0.034037015121276264,0.32518056805916196,0.4586032157246219,0.6666666666666667,0.45185185185185195,fair,0.4770642201834863,0.0536338780410279,0.3719437507871089,0.5821846895798638,0.5026737967914441,0.09599367951689568,0.3145296420431647,0.6908179515397235,0.3333333333333335
model=Opus-4.8,21,4,0.20253164556962056,0.1550126131485073,-0.10128749359583555,0.5063507847350767,0.8571428571428571,0.820861678004535,slight,0.19230769230769273,0.1996630463962109,-0.19902468798792622,0.5836400726033117,0.15517241379310448,0.20843617253634653,-0.25335497778287,0.5636998053690789,0.7142857142857142
condition=informed,4,2,0.0,0.0,0.0,0.0,0.25,0.25,slight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
condition=uninformed,107,4,0.37706190568600806,0.03326750665905115,0.31185879072625405,0.44226502064576206,0.719626168224299,0.549917023320814,fair,0.4512820512820514,0.05663234958231502,0.3402846856513449,0.5622794169127578,0.46015619600525354,0.09332127478957394,0.27724985827886217,0.6430625337316449,0.43925233644859807
affordance=none,34,4,0.3222591362126246,0.05094932018819345,0.22240030352645884,0.42211796889879033,0.6470588235294118,0.4792387543252596,fair,0.36250000000000004,0.1065776198950793,0.15361170327923743,0.5713882967207626,0.32673267326732663,0.16506494639926172,0.003211322953913298,0.6502540235807399,0.2941176470588236
affordance=low,29,3,0.4629629629629629,0.06116317875820019,0.34308533532025887,0.582840590605667,0.7241379310344828,0.48632580261593344,moderate,0.6081081081081082,0.040866365095149806,0.5280115042779752,0.6882047119382413,0.7456140350877195,0.02642528672746298,0.6938214247789921,0.7974066453964469,0.4482758620689655
affordance=high,48,4,0.3900293255131966,0.06050126369542754,0.27144902755539735,0.5086096234709958,0.7291666666666667,0.5559895833333334,fair,0.4545454545454547,0.08396556834230402,0.28997596452042484,0.6191149445704845,0.46105263157894827,0.13168608773737148,0.20295264214063596,0.7191526210172605,0.4583333333333335
