stratum,level,turn,survival,ci_lo,ci_hi,n_at_risk,n_events
ALL,all,0.0,1.0,1.0,1.0,432,0
ALL,all,11.0,0.9976851851851852,0.9836825045495615,0.9996736025373391,432,1
ALL,all,12.0,0.9930555555555556,0.9786248651861353,0.9977549838690307,431,2
ALL,all,13.0,0.9861111111111112,0.9693477202999905,0.9937362716365387,429,3
ALL,all,14.0,0.9791666666666667,0.9603443887486925,0.9891055119753301,426,3
ALL,all,29.0,0.976851851851852,0.9574054606686716,0.987477852463462,423,1
ALL,all,44.0,0.9699074074074076,0.9487385404496451,0.9824150652561586,422,3
ALL,all,48.0,0.9675925925925927,0.9458923466133343,0.9806783110530035,419,1
ALL,all,49.0,0.9606481481481483,0.9374588342379533,0.9753518012903771,418,3
ALL,all,50.0,0.9583333333333335,0.9346784264425047,0.9735428559729281,415,1
ALL,all,52.0,0.9537037037037038,0.9291575617010712,0.9698822167468582,414,2
ALL,all,54.0,0.9467592592592594,0.9209641553570722,0.9642982242939265,412,3
ALL,all,55.0,0.9444444444444446,0.9182537994311203,0.9624150915425451,409,1
ALL,all,57.0,0.9421296296296299,0.91555290498589,0.9605220906192657,408,1
ALL,all,58.0,0.9375000000000002,0.9101776107774937,0.9567085595521599,407,2
ALL,all,59.0,0.9351851851851855,0.90750236465761,0.9547889519043476,405,1
ALL,all,62.0,0.9305555555555558,0.9021748090118586,0.95092606990717,404,2
ALL,all,63.0,0.9259259259259262,0.8968756735795927,0.9470339525865951,402,2
ALL,all,64.0,0.9236111111111114,0.8942360405038027,0.9450777021839205,400,1
ALL,all,66.0,0.9189814814814817,0.8889753713345255,0.9411461678595961,399,2
ALL,all,67.0,0.916666666666667,0.8863538770202131,0.9391713680414828,397,1
ALL,all,68.0,0.9097222222222225,0.8785223053679232,0.9332134151631226,396,3
ALL,all,69.0,0.9074074074074078,0.8759221434048946,0.9312168841042339,393,1
ALL,all,71.0,0.905092592592593,0.8733268849500746,0.9292153695801176,392,1
ALL,all,74.0,0.8981481481481486,0.8655690505038527,0.9231824665700079,391,3
ALL,all,76.0,0.8935185185185189,0.8604191023971,0.9191382928774131,388,2
ALL,all,77.0,0.8865740740740745,0.8527247114976115,0.913041140722943,386,3
ALL,all,78.0,0.8842592592592596,0.8501676324984833,0.9110009565512972,383,1
ALL,all,79.0,0.8819444444444449,0.8476142506832047,0.908957039138254,382,1
ALL,all,86.0,0.8796296296296301,0.8450644757630821,0.9069094814401322,381,1
ALL,all,88.0,0.8773148148148153,0.8425182215725291,0.9048583720913905,380,1
ALL,all,90.0,0.8750000000000004,0.8399754058112922,0.9028037956808738,379,1
ALL,all,91.0,0.8726851851851856,0.8374359498070738,0.9007458330056409,378,1
ALL,all,93.0,0.8703703703703707,0.8348997782966198,0.8986845613045641,377,1
ALL,all,95.0,0.865740740740741,0.8298370035513754,0.8945523832647155,376,2
ALL,all,96.0,0.8611111111111114,0.8247865403371218,0.8904078160882469,374,2
ALL,all,97.0,0.8587962962962966,0.8222657683252864,0.8883310474900461,372,1
ALL,all,98.0,0.854166666666667,0.8172328505253177,0.8841688398185875,371,2
ALL,all,100.0,0.8518518518518521,0.814720594291239,0.882083513583592,369,1
ALL,all,101.0,0.8472222222222224,0.8097042264981665,0.8779046824281883,368,2
ALL,all,102.0,0.8449074074074077,0.8072000164199843,0.8758112780218213,366,1
ALL,all,103.0,0.8425925925925929,0.8046983928421793,0.8737152783446334,365,1
ALL,all,110.0,0.8402777777777781,0.8021993108252411,0.8716167291994967,364,1
ALL,all,112.0,0.8379629629629632,0.7997027270078052,0.8695156747643905,363,1
ALL,all,115.0,0.8333333333333336,0.7947168879696341,0.8653062190784502,362,2
ALL,all,120.0,0.8310185185185188,0.7922275532620185,0.8631978987425238,360,1
ALL,all,123.0,0.828703703703704,0.7897405576512265,0.8610872350807227,359,1
ALL,all,126.0,0.8263888888888892,0.787255864624398,0.8589742652334479,358,1
ALL,all,131.0,0.8240740740740744,0.7847734388576958,0.8568590251215951,357,1
ALL,all,138.0,0.8217592592592596,0.7822932461640522,0.8547415495008124,356,1
ALL,all,141.0,0.8194444444444449,0.7798152534438664,0.8526218720126557,355,1
ALL,all,144.0,0.81712962962963,0.7773394286384474,0.8505000252328562,354,1
ALL,all,150.0,0.814808238636364,0.7748577708062214,0.8483706709218286,352,1
ALL,all,151.0,0.812486847643098,0.772378249251645,0.8462391895940653,351,1
ALL,all,156.0,0.809615869382875,0.7692184591674431,0.8436685379450461,283,1
ALL,all,159.0,0.804392541193308,0.7627555689756562,0.8394997283706488,155,1
ALL,all,166.0,0.7951466499152241,0.7494239861960438,0.8334631149329012,87,1
ALL,all,168.0,0.782913624531913,0.73068745397642,0.8262267870832287,65,1
ALL,all,173.0,0.7669357954598331,0.705107577894335,0.8174879057599154,49,1
condition,informed,0.0,1.0,1.0,1.0,216,0
condition,informed,138.0,0.9953703703703703,0.9675942491283139,0.9993465546607061,216,1
condition,informed,144.0,0.9907407407407407,0.9634880174491015,0.9976762092455037,215,1
