stratum,level,n,n_events,median_survival_turn,S_at_50,S_at_100,S_at_150
ALL,all,432,86,,0.9583333333333335,0.8518518518518521,0.814808238636364
condition,informed,216,4,,1.0,1.0,0.9907407407407407
condition,uninformed,216,82,,0.9166666666666667,0.7037037037037036,0.6388888888888885
model_pretty,GPT-5.5,216,65,,0.9583333333333333,0.763888888888889,0.7083333333333334
model_pretty,Opus-4.8,216,21,,0.9583333333333335,0.9398148148148149,0.9212730318257957
affordance_level,none,144,27,,0.9722222222222223,0.8750000000000003,0.8333333333333337
affordance_level,low,144,23,,0.9930555555555556,0.9097222222222223,0.861055107526882
affordance_level,high,144,36,,0.9097222222222222,0.7708333333333336,0.7500000000000003
finality,retry_invited,144,39,,0.9722222222222223,0.8263888888888888,0.7638888888888891
finality,final_this_attempt,144,28,,0.9583333333333335,0.8402777777777781,0.8125000000000004
finality,never_reconsidered,144,19,,0.9444444444444445,0.8888888888888891,0.8680555555555558
condition x model,informed / GPT-5.5,108,4,,1.0,1.0,0.9814814814814814
condition x model,informed / Opus-4.8,108,0,,1.0,1.0,1.0
condition x model,uninformed / GPT-5.5,108,61,103.0,0.9166666666666666,0.5277777777777781,0.43518518518518534
condition x model,uninformed / Opus-4.8,108,21,,0.9166666666666666,0.8796296296296298,0.8425925925925927
